"Alameda, CA",37.7652065,-122.2416355
"Albany, CA",37.88687,-122.2977475
"Albertson, NY",40.7734341,-73.6431844
"Allendale, NJ",41.0414857,-74.129032
"Alpine, NJ",40.9559316,-73.9312478
"Arverne, NY",40.592658,-73.7977928
"Astoria, NY",40.7643574,-73.9234619
"Atherton, CA",37.4613272,-122.197743
"Atlantic Beach, NY",40.5889936,-73.7290207
"Avenel, NJ",40.5803818,-74.2851469
"Bayonne, NJ",40.6687141,-74.1143091
"Bayside, NY",40.7585569,-73.7654367
"Belford, NJ",40.425941,-74.086807
"Bellerose, NY",40.7243707,-73.7154014
"Belleville, NJ",40.7936744,-74.1500469
"Belmont, CA",37.5202145,-122.2758008
"Belvedere Tiburon, CA",37.8774811,-122.463708
"Benicia, CA",38.049365,-122.1585777
"Bergenfield, NJ",40.9275987,-73.9973608
"Berkeley, CA",37.8715926,-122.272747
"Blauvelt, NY",41.0634299,-73.9576378
"Bloomfield, NJ",40.8067546,-74.1854209
"Bloomingdale, NJ",41.002042,-74.3265388
"Bogota, NJ",40.8762106,-74.0298621
"Brisbane, CA",37.6807661,-122.3999715
"Bronx, NY",40.8370495,-73.8654295
"Bronxville, NY",40.9381544,-73.8320784
"Brooklyn, NY",40.6781784,-73.9441579
"Burlingame, CA",37.5778696,-122.34809
"Butler, NJ",41.0037087,-74.3415394
"Cambria Heights, NY",40.692158,-73.7330753
"Canyon, CA",32.6583258,-117.0352904
"Carlstadt, NJ",40.8403778,-74.0906974
"Castro Valley, CA",37.6940973,-122.0863522
"Cedar Grove, NJ",40.8517876,-74.2290319
"Cedarhurst, NY",40.6228819,-73.7242983
"Clark, NJ",40.6278031,-74.3127631
"Cliffside Park, NJ",40.8214894,-73.9876388
"Clifton, NJ",40.8584328,-74.1637553
"Closter, NJ",40.9731536,-73.9615262
"College Point, NY",40.786395,-73.8389657
"Colma, CA",37.6768779,-122.459695
"Colonia, NJ",40.584867,-74.3039227
"Corona, NY",40.7449859,-73.8642613
"Corte Madera, CA",37.9254806,-122.5274755
"Cranford, NJ",40.6584212,-74.2995928
"Cresskill, NJ",40.9414874,-73.9593041
"Crockett, CA",38.0524208,-122.2130236
"Daly City, CA",37.6879241,-122.4702079
"Demarest, NJ",40.9573205,-73.9634708
"Dobbs Ferry, NY",41.0145418,-73.872635
"Dumont, NJ",40.9406541,-73.9968051
"East Elmhurst, NY",40.7737505,-73.8713099
"East New York, NY",40.6568312,-73.8830701
"East Orange, NJ",40.767323,-74.2048677
"East Rockaway, NY",40.6420477,-73.6695747
"East Rutherford, NJ",40.833989,-74.0970865
"Eastchester, NY",40.9595605,-73.8095574
"Edgewater, NJ",40.8270448,-73.975694
"El Cerrito, CA",37.9161326,-122.310765
"El Granada, CA",37.5027185,-122.4694214
"El Sobrante, CA",37.9771452,-122.2952474
"Elizabeth, NJ",40.6639916,-74.2107006
"Elizabethport, NJ",40.6501031,-74.1870888
"Elmhurst, NY",40.737975,-73.8801301
"Elmont, NY",40.700936,-73.712909
"Elmwood Park, NJ",40.9039878,-74.118476
"Emerson, NJ",40.976209,-74.0262505
"Emeryville, CA",37.831316,-122.2852473
"Englewood, NJ",40.8928771,-73.9726381
"Fair Lawn, NJ",40.9403762,-74.1318096
"Fairfax, CA",37.9871454,-122.5888686
"Fairfield, NJ",40.8837406,-74.3059959
"Fairview, NJ",40.8126006,-73.999028
"Far Rockaway, NY",40.5998931,-73.7448437
